ID,WeekDay,Breakfast_Start,Breakfast_End,Lunch_Start,Lunch_End,Dinner_Start,Dinner_End,Breakfast,Lunch,Dinner
13,Tuesday,,,19:30:00,00:30:00,,,0,1,1
13,Saturday,,,19:30:00,00:30:00,,,0,1,1
13,Monday,,,19:30:00,00:30:00,,,0,1,1
13,Friday,,,19:30:00,00:30:00,,,0,1,1
13,Wednesday,,,19:30:00,00:30:00,,,0,1,1
13,Sunday,,,19:30:00,00:30:00,,,0,1,1
13,Thursday,,,19:30:00,00:30:00,,,0,1,1
14,Friday,09:00:00,12:00:00,12:00:00,18:00:00,18:01:00,23:30:00,1,1,1
14,Tuesday,09:00:00,12:00:00,12:00:00,18:00:00,18:01:00,23:30:00,1,1,1
14,Saturday,09:00:00,12:00:00,12:00:00,18:00:00,18:01:00,23:30:00,1,1,1
14,Sunday,09:00:00,12:00:00,12:00:00,18:00:00,18:01:00,23:30:00,1,1,1
14,Monday,09:00:00,12:00:00,12:00:00,18:00:00,18:01:00,23:30:00,1,1,1
14,Thursday,09:00:00,12:00:00,12:00:00,18:00:00,18:01:00,23:30:00,1,1,1
14,Wednesday,09:00:00,12:00:00,12:00:00,18:00:00,18:01:00,23:30:00,1,1,1
15,Tuesday,09:00:00,12:00:00,12:00:00,18:00:00,18:01:00,23:30:00,1,1,1
15,Monday,09:00:00,12:00:00,12:00:00,18:00:00,18:01:00,23:30:00,1,1,1
15,Sunday,09:00:00,12:00:00,12:00:00,18:00:00,18:01:00,23:30:00,1,1,1
15,Wednesday,09:00:00,12:00:00,12:00:00,18:00:00,18:01:00,23:30:00,1,1,1
15,Saturday,09:00:00,12:00:00,12:00:00,18:00:00,18:01:00,23:30:00,1,1,1
15,Friday,09:00:00,12:00:00,12:00:00,18:00:00,18:01:00,23:30:00,1,1,1
15,Thursday,09:00:00,12:00:00,12:00:00,18:00:00,18:01:00,23:30:00,1,1,1
16,Saturday,,,11:00:00,17:00:00,17:00:00,22:50:00,0,1,1
16,Thursday,,,11:00:00,17:00:00,17:00:00,22:50:00,0,1,1
16,Wednesday,,,11:00:00,17:00:00,17:00:00,22:50:00,0,1,1
16,Tuesday,,,11:00:00,17:00:00,17:00:00,22:50:00,0,1,1
16,Friday,,,11:00:00,17:00:00,17:00:00,22:50:00,0,1,1
16,Sunday,,,11:00:00,17:00:00,17:00:00,22:50:00,0,1,1
16,Monday,,,11:00:00,17:00:00,17:00:00,22:50:00,0,1,1
17,Friday,,,12:00:00,18:00:00,18:00:00,23:30:00,0,1,1
17,Wednesday,,,12:00:00,18:00:00,18:00:00,23:30:00,0,1,1
17,Saturday,,,12:00:00,18:00:00,18:00:00,23:30:00,0,1,1
17,Monday,,,12:00:00,18:00:00,18:00:00,23:30:00,0,1,1
17,Sunday,,,12:00:00,18:00:00,18:00:00,23:30:00,0,1,1
17,Thursday,,,12:00:00,18:00:00,18:00:00,23:30:00,0,1,1
17,Tuesday,,,12:00:00,18:00:00,18:00:00,23:30:00,0,1,1
18,Sunday,,,12:00:00,18:30:00,18:30:00,23:59:00,0,1,1
18,Wednesday,,,12:00:00,18:30:00,18:30:00,23:59:00,0,1,1
18,Monday,,,12:00:00,18:30:00,18:30:00,23:59:00,0,1,1
18,Thursday,,,12:00:00,18:30:00,18:30:00,23:59:00,0,1,1
18,Friday,,,12:00:00,18:30:00,18:30:00,23:59:00,0,1,1
18,Tuesday,,,12:00:00,18:30:00,18:30:00,23:59:00,0,1,1
18,Saturday,,,12:00:00,18:30:00,18:30:00,23:59:00,0,1,1
19,Tuesday,,,11:30:00,14:30:00,18:30:00,23:59:00,0,1,1
19,Sunday,,,11:30:00,14:30:00,18:30:00,23:59:00,0,1,1
19,Wednesday,,,11:30:00,14:30:00,18:30:00,23:59:00,0,1,1
19,Monday,,,11:30:00,14:30:00,18:30:00,23:59:00,0,1,1
19,Thursday,,,11:30:00,14:30:00,18:30:00,23:59:00,0,1,1
19,Saturday,,,11:30:00,14:30:00,18:30:00,23:59:00,0,1,1
